F_id,C_id,label,value
387,270,factor,0.009524626
388,270,factor,0.150178904
390,233,factor,0.007409146
391,233,factor,0.022600782
381,263,factor,0.003529239
380,172,factor,0.000859714
376,206,factor,0.001013677
389,206,factor,0.031864337
393,178,factor,0.09291912
394,178,factor,0.10893756
382,178,factor,0.081945739
383,178,factor,0.019315304
384,178,factor,0.04483314
385,178,factor,0.101724102
380,178,factor,0.001585534
380,244,factor,0.001864041
389,207,factor,0.157117761
377,207,factor,0.003293668
378,207,factor,0.041065885
376,177,factor,0.0094986
381,285,factor,0.004969401
377,285,factor,0.018992292
390,256,factor,0.008092959
391,256,factor,0.025031696
395,256,factor,0.001672579
394,223,factor,0.11095989
382,223,factor,0.077290526
383,223,factor,0.009413417
384,223,factor,0.083613903
385,223,factor,0.055783876
386,223,factor,0.052106843
387,223,factor,0.013431864
388,223,factor,0.065244105
381,241,factor,0.00320112
377,241,factor,0.024281492
381,179,factor,0.002803692
377,179,factor,0.026759528
394,218,factor,0.089676396
378,218,factor,0.047587104
379,218,factor,0.071371805
380,218,factor,0.002825516
388,261,factor,0.094994579
381,261,factor,0.002717242
395,184,factor,0.001143227
383,239,factor,0.03496267
384,239,factor,0.068882288
385,239,factor,0.069985942
386,239,factor,0.083641588
387,239,factor,0.013783048
388,239,factor,0.067804398
384,194,factor,0.160716547
385,194,factor,0.207157411
386,194,factor,0.149195738
387,194,factor,0.008706414
388,194,factor,0.150833234
390,194,factor,0.011237605
381,196,factor,0.02290269
377,196,factor,0.003348441
381,303,factor,0.004900677
377,303,factor,0.017568745
377,279,factor,0.003203373
378,279,factor,0.053268884
379,279,factor,0.048480508
385,174,factor,0.116476182
386,174,factor,0.057585268
387,174,factor,0.002399633
388,174,factor,0.100890934
379,243,factor,0.030697157
380,243,factor,0.003726623
376,187,factor,0.006101842
392,246,factor,0.003608795
393,246,factor,0.03324988
394,246,factor,0.116253558
378,246,factor,0.035967286
379,246,factor,0.03429278
381,172,factor,0.006284494
390,220,factor,0.006551874
391,220,factor,0.028638738
395,220,factor,0.003027766
380,263,factor,0.003577622
394,183,factor,0.189322272
382,183,factor,0.072736166
383,183,factor,0.008181809
379,183,factor,0.104563936
380,183,factor,0.001451359
394,192,factor,0.093433251
382,192,factor,0.068993746
383,192,factor,0.023840403
384,192,factor,0.088150705
385,192,factor,0.078306269
380,192,factor,0.001581244
381,186,factor,0.003837209
390,282,factor,0.002876589
391,282,factor,0.02100831
378,265,factor,0.018830037
379,265,factor,0.029746836
380,265,factor,0.003950428
390,292,factor,0.008769689
391,292,factor,0.030553526
395,292,factor,0.001521079
392,244,factor,0.01431608
393,244,factor,0.014685379
376,198,factor,0.002053232
393,279,factor,0.06467144
394,279,factor,0.118040843
382,279,factor,0.013657226
383,279,factor,0.012362097
384,279,factor,0.158922608
380,279,factor,0.003681941
395,171,factor,0.001502709
381,290,factor,0.005281319
395,183,factor,0.00096247
377,176,factor,0.005612321
376,238,factor,0.00997744
389,238,factor,0.091645827
392,238,factor,0.008101752
393,238,factor,0.061463861
395,241,factor,0.001632158
395,246,factor,0.001759871
378,237,factor,0.027974649
379,237,factor,0.04232386
381,284,factor,0.049833301
390,188,factor,0.022817277
391,188,factor,0.014530939
381,183,factor,0.005300557
381,246,factor,0.015392534
385,184,factor,0.087111133
386,184,factor,0.08004044
376,182,factor,0.01475065
381,219,factor,0.007148541
378,225,factor,0.028855016
393,256,factor,0.042368231
394,256,factor,0.118184637
382,256,factor,0.07819555
383,256,factor,0.024248342
384,256,factor,0.096754413
385,256,factor,0.166438574
380,246,factor,0.003688445
389,178,factor,0.071453251
392,178,factor,0.007838221
377,200,factor,0.003105753
378,200,factor,0.042478986
379,200,factor,0.050857144
376,241,factor,0.001322751
392,206,factor,0.005861126
394,188,factor,0.046494392
378,188,factor,0.048074763
379,188,factor,0.033665354
380,188,factor,0.001418807
392,263,factor,0.004506059
377,263,factor,0.020816739
378,263,factor,0.022428926
379,263,factor,0.032916205
389,243,factor,0.01294925
392,243,factor,0.004665328
393,243,factor,0.007768739
378,243,factor,0.019292207
378,194,factor,0.045648666
379,194,factor,0.096222804
380,194,factor,0.001764032
377,218,factor,0.001801045
381,314,factor,0.003493434
379,303,factor,0.032494919
380,303,factor,0.002554497
389,192,factor,0.055160361
392,192,factor,0.002612352
393,192,factor,0.016861223
389,174,factor,0.096941363
392,174,factor,0.012104007
393,174,factor,0.154745439
377,174,factor,0.032564815
376,261,factor,0.000349838
389,261,factor,0.033971989
376,218,factor,0.03267672
389,218,factor,0.132753435
392,218,factor,0.004072546
393,218,factor,0.097457559
376,265,factor,0.000419625
389,265,factor,0.015031639
392,265,factor,0.005989757
393,265,factor,0.012971013
394,265,factor,0.113169374
390,227,factor,0.007356889
391,227,factor,0.042351203
395,227,factor,0.001097359
393,270,factor,0.012470548
394,270,factor,0.235079573
382,270,factor,0.066425901
383,270,factor,0.006644695
394,292,factor,0.121783687
382,292,factor,0.034339157
383,292,factor,0.009373577
384,292,factor,0.063495177
385,292,factor,0.085636185
386,292,factor,0.037251885
387,292,factor,0.012146955
388,292,factor,0.066401928
381,209,factor,0.003003741
377,209,factor,0.012654446
376,174,factor,0.03301737
381,207,factor,0.013431699
389,241,factor,0.046834428
392,241,factor,0.006085729
393,241,factor,0.008622769
394,180,factor,0.090698994
382,180,factor,0.046984459
378,180,factor,0.049353803
379,180,factor,0.100831194
380,180,factor,0.000898972
376,237,factor,0.001074344
389,237,factor,0.005893211
392,237,factor,0.004946638
393,237,factor,0.014323231
381,259,factor,0.044153421
377,259,factor,0.001449733
381,256,factor,0.006396382
390,223,factor,0.008386233
391,223,factor,0.026468374
395,223,factor,0.00099391
376,263,factor,0.000475294
389,263,factor,0.016757317
394,244,factor,0.211135826
382,244,factor,0.042507513
383,244,factor,0.006227324
384,244,factor,0.173898736
385,244,factor,0.171647073
386,244,factor,0.14078171
387,244,factor,0.009210797
388,244,factor,0.138317802
377,183,factor,0.040426803
378,183,factor,0.049646152
381,271,factor,0.011868867
392,199,factor,0.005840927
394,174,factor,0.07214228
382,174,factor,0.035067977
383,174,factor,0.009104336
384,174,factor,0.083095458
376,200,factor,0.008620293
389,200,factor,0.041165804
376,216,factor,0.000310972
389,216,factor,0.021143362
381,180,factor,0.005732784
376,199,factor,0.000342626
389,199,factor,0.020773332
395,270,factor,0.00158506
386,256,factor,0.121751204
387,256,factor,0.005058586
388,256,factor,0.115318476
376,301,factor,0.002930007
389,301,factor,0.02955015
377,173,factor,0.006485956
378,173,factor,0.053390168
394,217,factor,0.160490698
382,217,factor,0.040652045
383,217,factor,0.012672658
384,217,factor,0.072104573
385,217,factor,0.135276189
386,217,factor,0.030965283
387,217,factor,0.006246495
388,217,factor,0.119795468
381,264,factor,0.019712307
377,264,factor,0.004393861
380,199,factor,0.004260169
390,269,factor,0.01417919
391,269,factor,0.030729837
377,216,factor,0.018433384
378,216,factor,0.022153552
379,216,factor,0.032502353
376,246,factor,0.003514605
389,246,factor,0.025579246
378,174,factor,0.02368602
379,174,factor,0.05386332
380,174,factor,0.000788927
394,269,factor,0.128420347
382,269,factor,0.052539369
395,283,factor,0.002857968
394,237,factor,0.100976318
382,237,factor,0.048750209
383,237,factor,0.014536704
384,237,factor,0.058962231
385,237,factor,0.078218248
386,237,factor,0.081456807
387,237,factor,0.016249683
388,237,factor,0.074106767
376,183,factor,0.001362455
389,183,factor,0.071087222
392,183,factor,0.010739431
393,183,factor,0.010501567
390,186,factor,0.013265542
391,186,factor,0.03260383
395,186,factor,0.00217314
390,271,factor,0.006890992
387,184,factor,0.006129448
388,184,factor,0.093924062
390,184,factor,0.010534356
391,184,factor,0.034272981
382,285,factor,0.086076942
378,285,factor,0.033954993
379,285,factor,0.103737293
380,285,factor,0.003896611
377,172,factor,0.026116139
378,172,factor,0.038644978
379,172,factor,0.072888903
392,242,factor,0.005846395
376,314,factor,0.000266909
389,314,factor,0.013999098
390,283,factor,0.01478481
391,283,factor,0.018428891
377,206,factor,0.015158978
378,206,factor,0.020944194
379,206,factor,0.04236795
394,214,factor,0.135778436
382,214,factor,0.08668186
383,214,factor,0.017781409
384,214,factor,0.076953696
385,214,factor,0.200274637
386,214,factor,0.131109633
387,214,factor,0.009786754
388,214,factor,0.145798976
380,214,factor,0.003273332
376,279,factor,0.009439622
390,222,factor,0.009844717
391,222,factor,0.028344921
390,261,factor,0.010295416
391,261,factor,0.022632911
395,261,factor,0.002028137
377,184,factor,0.004004233
378,184,factor,0.036635024
376,209,factor,0.000393073
376,285,factor,0.002551796
389,285,factor,0.023986651
392,285,factor,0.003348214
393,285,factor,0.008508276
394,285,factor,0.125205454
394,243,factor,0.134322804
382,243,factor,0.06042547
383,243,factor,0.013488117
