start_id,end_id,label,value
168,284,disease_value,0.001639332
164,284,disease_value,0.000197832
165,284,disease_value,0.001538412
118,284,disease_value,0.000706772
119,284,disease_value,0.02592672
120,284,disease_value,8.03E-05
121,284,disease_value,0.012759586
122,284,disease_value,0.001732711
160,175,disease_value,0.010715224
161,175,disease_value,0.006129079
83,256,disease_value,0.000794896
134,256,disease_value,0.000806042
149,175,disease_value,0.005975156
150,175,disease_value,0.161116408
151,175,disease_value,0.125796306
152,175,disease_value,0.037631223
166,175,disease_value,0.004973122
167,175,disease_value,0.006854654
168,175,disease_value,0.002065634
164,175,disease_value,0.000411787
165,175,disease_value,0.00026318
118,175,disease_value,0.001694193
119,175,disease_value,0.017073309
82,175,disease_value,0
83,175,disease_value,0.000450939
134,175,disease_value,0.000865683
135,175,disease_value,0.022904863
148,175,disease_value,0.000210177
43,198,disease_value,7.52E-05
44,198,disease_value,0
45,198,disease_value,0
46,198,disease_value,0
47,198,disease_value,0
48,198,disease_value,0
132,198,disease_value,9.50E-05
133,198,disease_value,0
34,173,disease_value,0.00013933
162,173,disease_value,0.00015507
163,173,disease_value,0.002003862
70,173,disease_value,0.000878207
55,173,disease_value,0.000658676
56,173,disease_value,0.005532576
57,173,disease_value,0.001480464
38,173,disease_value,0.029992941
39,173,disease_value,0.01602808
90,173,disease_value,0.000524805
71,173,disease_value,0.011486186
72,173,disease_value,0.0274286
152,256,disease_value,0.008083434
166,256,disease_value,0.027716303
167,256,disease_value,0.003679291
168,256,disease_value,0.001841233
164,256,disease_value,0.000220539
165,256,disease_value,0.00043439
118,256,disease_value,0.000403625
119,256,disease_value,0.032954261
120,256,disease_value,0.000306841
100,292,disease_value,0.000547662
101,292,disease_value,0.003488862
102,292,disease_value,0.000142858
103,292,disease_value,0.003563706
104,292,disease_value,0.004083884
105,292,disease_value,0.002429247
106,292,disease_value,0.0009418
107,292,disease_value,0.000810989
108,292,disease_value,0.000303486
109,292,disease_value,0.006383772
110,292,disease_value,0.002393057
111,292,disease_value,0.005510181
110,233,disease_value,0.000496434
111,233,disease_value,0.006853581
148,233,disease_value,0.000154414
149,233,disease_value,0.003264555
150,233,disease_value,0.178626662
151,233,disease_value,0.076327283
152,233,disease_value,0.012460779
166,233,disease_value,0.014935171
167,233,disease_value,0.002896068
168,233,disease_value,0.000484598
136,233,disease_value,0.001859416
91,292,disease_value,5.49E-07
9,292,disease_value,9.13E-06
10,292,disease_value,3.62E-06
11,292,disease_value,1.67E-06
12,292,disease_value,0.000206159
13,292,disease_value,0
14,292,disease_value,2.21E-07
15,292,disease_value,0
13,290,disease_value,0
14,290,disease_value,0
15,290,disease_value,1.50E-09
40,290,disease_value,0
41,290,disease_value,0
42,290,disease_value,0.000729358
95,290,disease_value,0.039001651
96,290,disease_value,0.011466803
97,290,disease_value,0.004026539
98,290,disease_value,0.001628042
99,290,disease_value,0.005231207
131,290,disease_value,0.035186346
49,290,disease_value,0.010845789
50,290,disease_value,0.004548052
112,219,disease_value,0.005652055
113,219,disease_value,0.001731236
114,219,disease_value,0.003810466
115,219,disease_value,0.001024263
68,219,disease_value,0.002596109
69,219,disease_value,0.002404586
116,219,disease_value,0.000325225
117,219,disease_value,0.000504973
125,219,disease_value,0.001502426
126,219,disease_value,0.000128628
127,219,disease_value,0.001661393
159,183,disease_value,0.000379485
160,183,disease_value,0.006511519
161,183,disease_value,0.005684677
46,241,disease_value,0
47,241,disease_value,0
48,241,disease_value,0
132,241,disease_value,2.59E-07
133,241,disease_value,0
58,219,disease_value,0.003578048
59,219,disease_value,0.000187109
60,219,disease_value,0.000279837
61,219,disease_value,0.001277999
62,219,disease_value,0.009355411
157,219,disease_value,0.007396781
63,219,disease_value,0.007645598
65,206,disease_value,0.00439309
66,206,disease_value,0.011913634
67,206,disease_value,0.001024544
136,206,disease_value,0.001745998
137,206,disease_value,0.000293644
138,206,disease_value,0.001269422
139,206,disease_value,0.000489161
73,206,disease_value,0.00475546
74,206,disease_value,0.034925935
75,206,disease_value,1.56E-06
76,206,disease_value,0.008841956
16,211,disease_value,0.00407304
17,211,disease_value,3.96E-05
18,211,disease_value,0.000518344
19,211,disease_value,0.012337716
20,211,disease_value,0.000166062
21,211,disease_value,0.018484495
78,183,disease_value,0.006315559
158,183,disease_value,8.80E-05
84,183,disease_value,0.016863798
85,183,disease_value,0.001315803
123,284,disease_value,0.003097837
124,284,disease_value,0.017251168
156,284,disease_value,0.00166398
137,233,disease_value,0.000396786
138,233,disease_value,0.001876335
139,233,disease_value,0.000811964
73,233,disease_value,0.003933529
74,233,disease_value,0.034618516
75,233,disease_value,5.47E-05
76,233,disease_value,0.016711226
77,233,disease_value,0.004187875
144,173,disease_value,0.001519058
145,173,disease_value,0.000899442
92,173,disease_value,0.002813549
93,173,disease_value,0.004970119
31,173,disease_value,0.000610619
32,173,disease_value,0.002323328
33,173,disease_value,0.001007484
64,184,disease_value,0.012371305
65,184,disease_value,0.006550923
66,184,disease_value,0.013066807
67,184,disease_value,0.004935698
68,184,disease_value,0.004860657
69,184,disease_value,0.004437615
5,217,disease_value,8.67E-05
8,217,disease_value,0.000134524
26,290,disease_value,0.028245835
27,290,disease_value,0.002117092
28,290,disease_value,0.000585246
29,290,disease_value,0.000530796
30,290,disease_value,0.000504111
91,290,disease_value,1.70E-07
9,290,disease_value,1.14E-05
10,290,disease_value,2.50E-06
11,290,disease_value,1.69E-06
12,290,disease_value,0.000203619
135,256,disease_value,0.030651896
16,256,disease_value,0.001186642
17,256,disease_value,0.000125631
18,256,disease_value,0.000212455
61,217,disease_value,0.001065405
62,217,disease_value,0.006130203
157,217,disease_value,0.004428816
63,217,disease_value,0.005856141
64,217,disease_value,0.014269859
113,217,disease_value,0.001774628
79,284,disease_value,0.003702158
80,284,disease_value,0.030981812
81,284,disease_value,0.01332045
140,175,disease_value,0.00861544
146,175,disease_value,0.00090019
147,175,disease_value,0.000250949
169,175,disease_value,0.002083529
159,175,disease_value,0.000258841
9,217,disease_value,0.000236398
10,217,disease_value,0.000172786
11,217,disease_value,0.000372431
12,217,disease_value,0.000262577
13,217,disease_value,3.33E-05
92,217,disease_value,0.022039049
93,217,disease_value,0.011459779
94,217,disease_value,0.001026023
95,217,disease_value,0.027263397
96,217,disease_value,0.008737533
97,217,disease_value,0.00557331
159,233,disease_value,0.00022061
160,233,disease_value,0.007811009
161,233,disease_value,0.005567592
48,175,disease_value,0
132,175,disease_value,6.92E-05
133,175,disease_value,5.84E-05
152,186,disease_value,0.007263108
166,186,disease_value,0.004737903
167,186,disease_value,0.008443232
168,186,disease_value,0.003355953
164,186,disease_value,0.002326366
165,186,disease_value,0.000803539
118,186,disease_value,0.004315763
119,186,disease_value,0.02614029
120,186,disease_value,0.000329466
151,294,disease_value,0.046324957
152,294,disease_value,0.058654865
166,294,disease_value,0.012772352
167,294,disease_value,0.00858717
168,294,disease_value,0.003301681
164,294,disease_value,0.000602051
165,294,disease_value,0.000924514
118,294,disease_value,0.003508305
119,294,disease_value,0.012265227
120,294,disease_value,6.30E-05
4,184,disease_value,5.44E-06
5,184,disease_value,1.90E-07
8,184,disease_value,2.85E-05
80,211,disease_value,0.003589072
81,211,disease_value,0.014889342
1,211,disease_value,0.00081288
2,211,disease_value,0.000614447
86,183,disease_value,0.019129278
87,183,disease_value,0.00211215
88,183,disease_value,0.002432386
89,183,disease_value,0.000911932
141,183,disease_value,0.013722377
135,178,disease_value,0.079528685
16,178,disease_value,0.000610781
17,178,disease_value,0.000132709
18,178,disease_value,0.000398418
19,178,disease_value,0.016216443
20,178,disease_value,0.000167865
21,178,disease_value,0.000569442
92,276,disease_value,0.004801228
93,276,disease_value,0.003028923
94,276,disease_value,0.000789604
31,276,disease_value,0.000207812
32,276,disease_value,0.001163883
33,276,disease_value,0.001195668
34,276,disease_value,0.000156362
162,276,disease_value,0.000315192
163,276,disease_value,0.00115034
70,276,disease_value,0.000552146
89,198,disease_value,0.003933151
140,198,disease_value,0.007106473
141,198,disease_value,0.017579066
141,206,disease_value,0.020958749
1,173,disease_value,0.000649441
2,173,disease_value,0.000421506
3,173,disease_value,0
153,173,disease_value,0.000793601
85,171,disease_value,0.002184365
86,171,disease_value,0.020032547
87,171,disease_value,0.011548873
13,223,disease_value,7.48E-06
14,223,disease_value,0
15,223,disease_value,0
40,223,disease_value,0
41,223,disease_value,0
42,223,disease_value,0.000693345
43,223,disease_value,1.53E-06
98,217,disease_value,0.001304527
99,217,disease_value,0.001984497
131,217,disease_value,0.010679963
49,217,disease_value,0.001266235
50,217,disease_value,0.001969728
51,217,disease_value,0.000291886
52,217,disease_value,0.001641989
53,217,disease_value,0.003770289
54,217,disease_value,0.000391775
100,217,disease_value,0.00063291
57,217,disease_value,0.003079803
58,217,disease_value,0.003585516
59,217,disease_value,0.000232606
60,217,disease_value,0.000197418
25,276,disease_value,1.17E-05
142,276,disease_value,0.000301424
143,276,disease_value,9.42E-06
144,276,disease_value,0.002348154
145,276,disease_value,0.004668113
132,227,disease_value,8.53E-05
133,227,disease_value,0.000723285
82,227,disease_value,0
83,227,disease_value,0.000569532
134,227,disease_value,0.004221826
107,227,disease_value,0.000135005
108,227,disease_value,0.000264138
109,227,disease_value,0.002497382
81,226,disease_value,0.003123448
1,226,disease_value,0.003764484
2,226,disease_value,0.000204181
3,226,disease_value,0
130,171,disease_value,0.006003054
158,171,disease_value,0.001488802
84,171,disease_value,0.031109579
6,211,disease_value,0.003369858
7,211,disease_value,0.002663411
6,178,disease_value,0.005099614
7,178,disease_value,0.002351174
169,186,disease_value,0.002605622
79,186,disease_value,0.005408149
159,186,disease_value,0.000562495
160,186,disease_value,0.008460861
161,186,disease_value,0.006810456
121,238,disease_value,0.00436792
122,238,disease_value,0.000800411
123,238,disease_value,0.000781844
124,238,disease_value,0.04616921
112,173,disease_value,0.006043079
81,173,disease_value,0.028145322
146,205,disease_value,0.002473425
147,205,disease_value,0.000810487
169,205,disease_value,0.002987301
79,205,disease_value,0.004204775
159,205,disease_value,0.00159419
160,205,disease_value,0.004281586
161,205,disease_value,0.006184232
136,183,disease_value,0.001076066
137,183,disease_value,0.000187551
138,183,disease_value,0.000822435
139,183,disease_value,0.000423129
73,183,disease_value,0.003083323
74,183,disease_value,0.033294184
75,183,disease_value,1.42E-05
76,183,disease_value,0.015543991
77,183,disease_value,0.002826918
116,184,disease_value,0.000459967
117,184,disease_value,0.000339788
125,184,disease_value,0.00192347
126,184,disease_value,0.000474723
127,184,disease_value,0.002572923
128,184,disease_value,0.011792728
129,184,disease_value,0.001808107
130,184,disease_value,0.009143384
35,284,disease_value,0.006817319
36,284,disease_value,0.000384624
37,284,disease_value,0.003353701
38,284,disease_value,0.021116171
39,284,disease_value,0.006914491
90,284,disease_value,0.000453198
140,284,disease_value,0.003172078
146,284,disease_value,0.002069648
147,284,disease_value,0.000903509
169,284,disease_value,0.002527894
6,177,disease_value,0.004991318
7,177,disease_value,0.007500332
22,173,disease_value,0.035043324
23,173,disease_value,0.010359217
21,173,disease_value,0.003521718
142,173,disease_value,0.000418343
143,173,disease_value,5.78E-06
128,206,disease_value,0.022558516
129,206,disease_value,0.000958058
130,206,disease_value,0.019074826
158,206,disease_value,8.00E-05
84,206,disease_value,0.022142136
118,178,disease_value,0.000313835
119,178,disease_value,0.021470613
120,178,disease_value,1.78E-05
121,178,disease_value,0.004675281
122,178,disease_value,0.000288758
123,178,disease_value,0.000774784
124,178,disease_value,0.047165957
55,276,disease_value,0.00045663
56,276,disease_value,0.012293791
57,276,disease_value,0.002890372
58,276,disease_value,0.007661666
59,276,disease_value,0.000218459
60,276,disease_value,0.00016938
61,276,disease_value,0.001721446
159,198,disease_value,0.000323947
160,198,disease_value,0.009382116
161,198,disease_value,0.005319049
133,294,disease_value,0
82,294,disease_value,0
83,294,disease_value,0.000152059
160,241,disease_value,0.008456377
161,241,disease_value,0.006291984
82,186,disease_value,0
83,186,disease_value,0.000172912
134,186,disease_value,0.0002112
64,292,disease_value,0.015282301
65,292,disease_value,0.005411871
66,292,disease_value,0.008008864
67,292,disease_value,0.002161584
136,292,disease_value,0.00315466
137,292,disease_value,0.000383008
138,292,disease_value,0.001233067
139,292,disease_value,0.000335934
73,292,disease_value,0.005236901
74,292,disease_value,0.024955573
126,292,disease_value,0.00027379
44,171,disease_value,0
45,171,disease_value,0
46,171,disease_value,1.13E-05
47,171,disease_value,0.001020888
48,171,disease_value,0
132,171,disease_value,0.000409508
133,171,disease_value,0.000501779
82,171,disease_value,0
101,171,disease_value,0.002330216
102,171,disease_value,0.000146173
103,171,disease_value,0.000770439
104,171,disease_value,0.000823575
79,178,disease_value,0.005424155
80,178,disease_value,0.018688831
81,178,disease_value,0.010280965
1,178,disease_value,0.000179546
22,192,disease_value,0.00886282
23,192,disease_value,0.03881119
24,192,disease_value,0.009988882
25,192,disease_value,1.02E-05
26,192,disease_value,0.0293319
27,192,disease_value,0.003711359
77,294,disease_value,0.006149225
78,294,disease_value,0.015185056
121,186,disease_value,0.004313834
78,186,disease_value,0.008516019
156,186,disease_value,0.000688831
25,242,disease_value,2.23E-05
26,242,disease_value,0.05957021
27,242,disease_value,0.002080728
142,242,disease_value,0.001623813
143,242,disease_value,0
144,242,disease_value,0.001062979
145,242,disease_value,0.006541306
92,242,disease_value,0.006520004
93,242,disease_value,0.004587684
80,285,disease_value,0.030829238
81,285,disease_value,0.007215621
1,285,disease_value,3.19E-06
146,294,disease_value,0.000641898
147,294,disease_value,0.000317001
169,294,disease_value,0.003584431
159,294,disease_value,0.000928989
160,294,disease_value,0.009555085
161,294,disease_value,0.006667912
31,211,disease_value,0.000277125
32,211,disease_value,0.001272411
156,211,disease_value,0.003757149
35,211,disease_value,0.004586932
36,211,disease_value,0.000226032
37,211,disease_value,0.001961028
38,211,disease_value,0.01710245
77,223,disease_value,0.003093269
129,223,disease_value,0.002968914
130,223,disease_value,0.013095662
158,223,disease_value,0.000255537
84,223,disease_value,0.022380758
82,198,disease_value,0
83,198,disease_value,0.000176268
134,198,disease_value,0.000372961
107,198,disease_value,0.000389873
108,198,disease_value,0.000663838
109,198,disease_value,0.002535801
110,198,disease_value,0.001534406
111,198,disease_value,0.004968115
119,285,disease_value,0.013967625
120,285,disease_value,7.40E-05
121,285,disease_value,0.00324542
122,285,disease_value,0.000471244
123,285,disease_value,0.000343783
124,285,disease_value,0.025209512
28,192,disease_value,0.000798263
29,192,disease_value,0.002063387
30,192,disease_value,0.00158278
91,192,disease_value,3.79E-06
9,192,disease_value,0.000676969
143,192,disease_value,2.72E-06
144,192,disease_value,0.002244328
145,192,disease_value,0.003881156
92,192,disease_value,0.006296717
93,192,disease_value,0.030697311
156,175,disease_value,0.002108653
85,175,disease_value,0.001953343
86,175,disease_value,0.021477837
87,175,disease_value,0.002742466
88,175,disease_value,0.005309123
89,175,disease_value,0.001036505
81,238,disease_value,0.01395189
1,238,disease_value,0.000661476
2,238,disease_value,0.010389692
3,238,disease_value,0
85,244,disease_value,0.00115095
5,244,disease_value,1.18E-07
8,244,disease_value,2.62E-05
135,284,disease_value,0.023792618
16,284,disease_value,0.002572956
17,284,disease_value,4.27E-05
18,284,disease_value,0.000835776
19,284,disease_value,0.010188602
20,284,disease_value,0.000192265
21,284,disease_value,0.006005493
81,185,disease_value,0.004223093
1,185,disease_value,1.63E-05
2,185,disease_value,0.000370296
3,185,disease_value,0
140,241,disease_value,0.010324228
146,241,disease_value,0.00096082
147,241,disease_value,0.000368624
141,241,disease_value,0.018375024
159,241,disease_value,0.000260693
39,211,disease_value,0.005510218
90,211,disease_value,0.000291926
71,211,disease_value,0.005121313
72,211,disease_value,0.04465411
